NAME,ROW,COL,RAD
./data/0.npy,133,197,89
./data/1.npy,32,45,92
./data/2.npy,64,120,75
./data/3.npy,80,187,17
./data/4.npy,97,141,65
./data/5.npy,187,141,22
./data/6.npy,180,91,15
./data/7.npy,101,45,33
./data/8.npy,124,120,30
./data/9.npy,97,130,34
./data/10.npy,18,79,76
./data/11.npy,58,59,69
./data/12.npy,94,92,99
./data/13.npy,16,62,31
./data/14.npy,155,196,84
./data/15.npy,12,116,72
./data/16.npy,199,64,69
./data/17.npy,87,119,36
./data/18.npy,127,180,92
./data/19.npy,25,126,98
./data/20.npy,189,55,21
./data/21.npy,48,24,77
./data/22.npy,97,68,82
./data/23.npy,145,48,92
./data/24.npy,117,89,98
./data/25.npy,125,20,96
./data/26.npy,151,3,26
./data/27.npy,167,150,97
./data/28.npy,99,178,82
./data/29.npy,42,15,90
./data/30.npy,188,113,76
./data/31.npy,189,164,77
./data/32.npy,55,16,79
./data/33.npy,5,92,95
./data/34.npy,162,196,49
./data/35.npy,62,83,51
./data/36.npy,119,86,71
./data/37.npy,106,41,72
./data/38.npy,26,140,86
./data/39.npy,12,58,20
./data/40.npy,38,86,18
./data/41.npy,81,47,45
./data/42.npy,124,38,94
./data/43.npy,102,98,71
./data/44.npy,174,126,31
./data/45.npy,169,153,22
./data/46.npy,127,121,45
./data/47.npy,88,24,62
./data/48.npy,47,191,20
./data/49.npy,90,101,22
./data/50.npy,138,88,95
./data/51.npy,52,11,63
./data/52.npy,176,13,37
./data/53.npy,141,122,85
./data/54.npy,199,107,35
./data/55.npy,171,141,69
./data/56.npy,141,178,10
./data/57.npy,70,18,15
./data/58.npy,109,161,86
./data/59.npy,11,157,90
./data/60.npy,137,155,61
./data/61.npy,19,165,42
./data/62.npy,58,70,17
./data/63.npy,167,93,22
./data/64.npy,153,18,58
./data/65.npy,138,141,60
./data/66.npy,44,31,92
./data/67.npy,172,154,74
./data/68.npy,16,27,11
./data/69.npy,190,49,67
./data/70.npy,38,47,86
./data/71.npy,78,72,45
./data/72.npy,159,188,31
./data/73.npy,104,27,99
./data/74.npy,187,112,61
./data/75.npy,170,41,54
./data/76.npy,48,117,43
./data/77.npy,125,172,25
./data/78.npy,32,91,49
./data/79.npy,134,84,91
./data/80.npy,181,29,13
./data/81.npy,165,119,51
./data/82.npy,44,174,87
./data/83.npy,191,20,44
./data/84.npy,167,69,92
./data/85.npy,60,180,26
./data/86.npy,148,8,89
./data/87.npy,165,93,27
./data/88.npy,32,91,42
./data/89.npy,35,165,49
./data/90.npy,186,56,28
./data/91.npy,105,3,47
./data/92.npy,2,172,46
./data/93.npy,64,188,65
./data/94.npy,186,33,42
./data/95.npy,157,166,82
./data/96.npy,173,174,20
./data/97.npy,151,190,52
./data/98.npy,82,116,52
./data/99.npy,108,9,54
./data/100.npy,57,106,46
./data/101.npy,22,44,75
./data/102.npy,173,44,33
./data/103.npy,75,10,75
./data/104.npy,43,157,33
./data/105.npy,78,95,43
./data/106.npy,92,135,59
./data/107.npy,54,136,20
./data/108.npy,151,188,91
./data/109.npy,51,141,45
./data/110.npy,59,84,83
./data/111.npy,99,136,84
./data/112.npy,116,195,77
./data/113.npy,56,96,25
./data/114.npy,163,122,93
./data/115.npy,120,129,57
./data/116.npy,165,4,16
./data/117.npy,133,18,51
./data/118.npy,150,167,60
./data/119.npy,194,107,16
./data/120.npy,18,175,46
./data/121.npy,106,8,61
./data/122.npy,165,187,73
./data/123.npy,148,8,13
./data/124.npy,191,143,75
./data/125.npy,78,24,10
./data/126.npy,180,141,58
./data/127.npy,5,139,66
./data/128.npy,43,154,61
./data/129.npy,152,91,50
./data/130.npy,42,5,10
./data/131.npy,152,97,93
./data/132.npy,69,69,23
./data/133.npy,78,152,29
./data/134.npy,44,122,26
./data/135.npy,51,191,25
./data/136.npy,44,193,95
./data/137.npy,78,151,49
./data/138.npy,84,19,21
./data/139.npy,161,102,99
./data/140.npy,18,17,26
./data/141.npy,169,107,41
./data/142.npy,37,176,30
./data/143.npy,0,49,73
./data/144.npy,19,143,12
./data/145.npy,18,143,88
./data/146.npy,76,129,18
./data/147.npy,150,123,71
./data/148.npy,110,98,19
./data/149.npy,22,73,30
./data/150.npy,13,101,77
./data/151.npy,93,36,98
./data/152.npy,125,120,61
./data/153.npy,93,178,95
./data/154.npy,149,5,65
./data/155.npy,196,144,24
./data/156.npy,17,137,54
./data/157.npy,183,26,49
./data/158.npy,152,176,85
./data/159.npy,168,42,42
./data/160.npy,79,187,32
./data/161.npy,131,91,76
./data/162.npy,86,85,98
./data/163.npy,69,121,84
./data/164.npy,117,160,34
./data/165.npy,155,92,90
./data/166.npy,131,129,12
./data/167.npy,134,125,74
./data/168.npy,48,96,70
./data/169.npy,46,101,23
./data/170.npy,170,37,73
./data/171.npy,182,111,59
./data/172.npy,98,149,13
./data/173.npy,190,15,74
./data/174.npy,122,104,80
./data/175.npy,46,175,61
./data/176.npy,56,90,50
./data/177.npy,89,162,59
./data/178.npy,94,52,12
./data/179.npy,134,185,36
./data/180.npy,153,14,72
./data/181.npy,185,159,75
./data/182.npy,121,66,62
./data/183.npy,4,108,67
./data/184.npy,32,86,34
./data/185.npy,25,107,67
./data/186.npy,39,162,71
./data/187.npy,141,139,41
./data/188.npy,26,175,78
./data/189.npy,72,136,75
./data/190.npy,14,74,37
./data/191.npy,88,74,69
./data/192.npy,171,142,32
./data/193.npy,192,114,63
./data/194.npy,143,22,60
./data/195.npy,150,198,63
./data/196.npy,75,85,18
./data/197.npy,83,125,89
./data/198.npy,195,147,47
./data/199.npy,27,34,26
./data/200.npy,148,42,36
./data/201.npy,193,87,14
./data/202.npy,142,66,34
./data/203.npy,114,53,82
./data/204.npy,32,185,76
./data/205.npy,40,178,94
./data/206.npy,83,55,26
./data/207.npy,172,180,98
./data/208.npy,81,35,22
./data/209.npy,101,17,66
./data/210.npy,27,124,37
./data/211.npy,187,44,58
./data/212.npy,73,156,19
./data/213.npy,88,130,93
./data/214.npy,170,1,66
./data/215.npy,55,3,72
./data/216.npy,116,105,42
./data/217.npy,13,0,30
./data/218.npy,183,47,34
./data/219.npy,63,162,33
./data/220.npy,27,122,88
./data/221.npy,170,183,18
./data/222.npy,83,74,70
./data/223.npy,131,18,29
./data/224.npy,70,171,42
./data/225.npy,85,94,68
./data/226.npy,116,168,74
./data/227.npy,34,78,88
./data/228.npy,25,97,96
./data/229.npy,196,92,75
./data/230.npy,31,81,17
./data/231.npy,94,181,10
./data/232.npy,152,112,90
./data/233.npy,191,167,75
./data/234.npy,85,106,23
./data/235.npy,118,181,31
./data/236.npy,47,82,61
./data/237.npy,19,90,67
./data/238.npy,0,198,60
./data/239.npy,120,159,34
./data/240.npy,135,94,45
./data/241.npy,89,100,55
./data/242.npy,193,161,22
./data/243.npy,151,126,22
./data/244.npy,47,172,39
./data/245.npy,185,162,67
./data/246.npy,192,128,55
./data/247.npy,103,11,60
./data/248.npy,69,11,32
./data/249.npy,65,11,24
./data/250.npy,44,197,67
./data/251.npy,152,160,96
./data/252.npy,34,130,29
./data/253.npy,107,93,90
./data/254.npy,150,126,25
./data/255.npy,36,84,14
./data/256.npy,121,167,44
./data/257.npy,146,101,62
./data/258.npy,74,86,76
./data/259.npy,83,164,25
./data/260.npy,43,150,54
./data/261.npy,190,18,65
./data/262.npy,157,38,16
./data/263.npy,167,45,55
./data/264.npy,9,31,49
./data/265.npy,113,9,76
./data/266.npy,16,75,82
./data/267.npy,124,171,64
./data/268.npy,40,85,24
./data/269.npy,95,5,18
./data/270.npy,23,19,43
./data/271.npy,80,83,41
./data/272.npy,141,178,62
./data/273.npy,117,161,58
./data/274.npy,160,115,54
./data/275.npy,102,95,65
./data/276.npy,143,126,42
./data/277.npy,171,77,87
./data/278.npy,189,138,67
./data/279.npy,20,192,90
./data/280.npy,46,12,40
./data/281.npy,20,155,46
./data/282.npy,167,31,43
./data/283.npy,88,144,19
./data/284.npy,25,119,25
./data/285.npy,132,122,58
./data/286.npy,56,156,54
./data/287.npy,158,175,84
./data/288.npy,137,97,20
./data/289.npy,51,19,71
./data/290.npy,133,178,31
./data/291.npy,1,76,57
./data/292.npy,59,48,23
./data/293.npy,115,67,72
./data/294.npy,53,27,44
./data/295.npy,121,48,52
./data/296.npy,38,185,60
./data/297.npy,173,37,34
./data/298.npy,27,161,43
./data/299.npy,31,31,53
./data/300.npy,102,172,15
./data/301.npy,141,184,43
./data/302.npy,188,100,96
./data/303.npy,187,4,91
./data/304.npy,59,144,13
./data/305.npy,186,1,77
./data/306.npy,167,186,89
./data/307.npy,51,104,10
./data/308.npy,61,127,60
./data/309.npy,175,125,17
./data/310.npy,155,33,21
./data/311.npy,192,168,37
./data/312.npy,65,194,13
./data/313.npy,29,92,83
./data/314.npy,138,149,88
./data/315.npy,9,54,32
./data/316.npy,53,48,92
./data/317.npy,191,150,63
./data/318.npy,25,30,34
./data/319.npy,182,106,95
./data/320.npy,105,151,68
./data/321.npy,196,33,44
./data/322.npy,111,193,46
./data/323.npy,178,68,72
./data/324.npy,110,59,19
./data/325.npy,87,61,97
./data/326.npy,56,138,91
./data/327.npy,145,87,23
./data/328.npy,44,7,83
./data/329.npy,176,145,18
./data/330.npy,45,96,87
./data/331.npy,24,31,11
./data/332.npy,20,23,54
./data/333.npy,31,30,15
./data/334.npy,55,73,27
./data/335.npy,183,124,88
./data/336.npy,164,58,17
./data/337.npy,129,89,52
./data/338.npy,168,178,36
./data/339.npy,165,169,43
./data/340.npy,104,192,96
./data/341.npy,53,16,78
./data/342.npy,97,64,58
./data/343.npy,8,117,75
./data/344.npy,160,106,66
./data/345.npy,122,199,91
./data/346.npy,4,5,40
./data/347.npy,61,139,76
./data/348.npy,193,46,56
./data/349.npy,123,25,32
./data/350.npy,61,160,86
./data/351.npy,189,151,52
./data/352.npy,42,142,11
./data/353.npy,164,92,64
./data/354.npy,60,34,11
./data/355.npy,100,5,41
./data/356.npy,108,50,81
./data/357.npy,87,190,96
./data/358.npy,129,58,25
./data/359.npy,39,21,59
./data/360.npy,23,111,22
./data/361.npy,42,0,70
./data/362.npy,51,171,60
./data/363.npy,198,59,50
./data/364.npy,191,71,87
./data/365.npy,139,26,99
./data/366.npy,101,60,52
./data/367.npy,23,170,89
./data/368.npy,10,137,48
./data/369.npy,83,149,90
./data/370.npy,80,45,47
./data/371.npy,88,71,51
./data/372.npy,123,47,76
./data/373.npy,99,100,48
./data/374.npy,92,49,57
./data/375.npy,107,89,37
./data/376.npy,116,81,21
./data/377.npy,24,82,67
./data/378.npy,140,7,11
./data/379.npy,2,192,45
./data/380.npy,36,164,28
./data/381.npy,9,197,24
./data/382.npy,162,98,69
./data/383.npy,94,28,73
./data/384.npy,87,58,90
./data/385.npy,137,72,85
./data/386.npy,80,75,98
